screen_name,date,text
Amarinder,Tue Jan 31 15:15:56 +0000 2017,b'rt AT_USER aicc vp rahulgandhi meets sant niranjan dassji at derasachjhandballan to seek his blessings AT_USER AT_USER AT_USER 
Kejriwal,Tue Jan 31 15:15:01 +0000 2017,b'migrant labourers hired by aap for publicity in jalandhar | \nAT_USER | AT_USER URL 
Kejriwal,Tue Jan 31 15:14:07 +0000 2017,b'aap wants to rule in punjab with the help of militants: smriti irani | AT_USER | AT_USER URL 
Kejriwal,Tue Jan 31 15:10:10 +0000 2017,b'rt AT_USER aap shares fake survey. shameonaap AT_USER AT_USER AT_USER AT_USER AT_USER URL 
Amarinder,Tue Jan 31 16:24:49 +0000 2017,b'rt AT_USER stupendous response in malout muktsar to AT_USER publicrallies AT_USER AT_USER AT_USER AT_USER AT_USER 
Kejriwal,Wed Feb 01 18:44:51 +0000 2017,b'AT_USER AT_USER AT_USER AT_USER seems acp pradyumaan has joined aap! chu****apa to the core day an\xe2\x80\xa6 URL 
Amarinder,Wed Feb 01 18:26:38 +0000 2017,b'rt AT_USER patiala rural opens its arms and hearts to AT_USER on poll campaign eve AT_USER AT_USER AT_USER AT_USER 
Badal,Wed Feb 01 18:26:36 +0000 2017,b'AT_USER AT_USER AT_USER \xe0\xa4\x90\xe0\xa4\xb8\xe0\xa5\x87 \xe0\xa4\xa8\xe0\xa4\xb6\xe0\xa4\xbe \xe0\xa4\xae\xe0\xa5\x81\xe0\xa4\x95\xe0\xa5\x8d\xe0\xa4\xa4 \xe0\xa4\xa8\xe0\xa4\xb9\xe0\xa5\x80 \xe0\xa4\xa8\xe0\xa4\xbe\xe0\xa4\xb6 \xe0\xa4\xb9\xe0\xa5\x8b\xe0\xa4\xa4\xe0\xa4\xbe \xe0\xa4\xb9\xe0\xa5\x88 \xe0\xa4\xaa\xe0\xa5\x8d\xe0\xa4\xb0\xe0\xa4\xa6\xe0\xa5\x87\xe0\xa4\xb6 \xe0\xa4\x95\xe0\xa4\xbe..\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\xf0\x9f\x98\xa2\n\xf0\x9f\x91\x89please vote only jhadu j\xe2\x80\xa6 URL 
Badal,Wed Feb 01 17:50:00 +0000 2017,b'it\xe2\x80\x99s official: dera sacha sauda with sad-bjp in punjab elections | AT_USER AT_USER || AT_USER URL 
Amarinder,Wed Feb 01 17:40:47 +0000 2017,b'rt AT_USER AT_USER gets euphoric welcome from crowd in his patiala urban constituency during last leg of campaigning AT_USER 
Amarinder,Wed Feb 01 17:36:24 +0000 2017,b'rt AT_USER AT_USER gets euphoric welcome from crowd in his patiala urban constituency during last leg of campaigning AT_USER 
Kejriwal,Thu Feb 02 20:52:45 +0000 2017,b'\xe0\xa8\xac\xe0\xa8\xbe\xe0\xa8\xa6\xe0\xa8\xb2\xe0\xa8\xbe \xe0\xa8\xa6\xe0\xa9\x80 \xe0\xa8\xa8\xe0\xa8\xb9\xe0\xa9\x80\xe0\xa8\x82 \xe0\xa8\xac\xe0\xa8\xa6\xe0\xa8\xb2\xe0\xa8\xbe\xe0\xa8\x85 \xe0\xa8\xa6\xe0\xa9\x80 \xe0\xa8\xb2\xe0\xa9\x8b\xe0\xa9\x9c \xe0\xa8\xb9\xe0\xa9\x88\n\xe0\xa8\xb0\xe0\xa8\xbe\xe0\xa8\x9c\xe0\xa9\x87 \xe0\xa8\xa4\xe0\xa8\xbe \xe0\xa8\xac\xe0\xa8\xb9\xe0\xa9\x81\xe0\xa8\xa4 \xe0\xa8\x9c\xe0\xa8\x97 \xe0\xa9\xb3\xe0\xa9\x81\xe0\xa8\xa4\xe0\xa9\x87\n\xe0\xa8\x9c\xe0\xa8\xbf\xe0\xa8\xa8\xe0\xa8\xbe \xe0\xa8\xb2\xe0\xa8\x88 \xe0\xa8\xb5\xe0\xa8\xa4\xe0\xa8\xa8 \xe0\xa8\xb9\xe0\xa9\x87 \xe0\xa8\xb8\xe0\xa9\xb1\xe0\xa8\x9a\xe0\xa8\xbe \xe0\xa8\x87\xe0\xa8\xb8\xe0\xa8\xbc\xe0\xa8\x95 \n\xe0\xa8\x8f\xe0\xa8\xb8\xe0\xa9\x87 \xe0\xa8\x86\xe0\xa8\xb8\xe0\xa8\xbc\xe0\xa8\x95\xe0\xa8\xbe \xe0\xa8\xa6\xe0\xa9\x80 \xe0\xa8\xb2\xe0\xa9\x8c\xe0\xa9\x9c \xe0\xa8\xb9\xe0\xa9\x87\nAT_USER AT_USER AT_USER 
Kejriwal,Thu Feb 02 18:51:30 +0000 2017,b'rt AT_USER AT_USER URL 
Kejriwal,Thu Feb 02 18:39:38 +0000 2017,b'AT_USER AT_USER vote for your self power' 
Badal,Thu Feb 02 18:39:00 +0000 2017,b'AT_USER AT_USER AT_USER save punjab vote AT_USER being indian' 
Kejriwal,Thu Feb 02 18:39:00 +0000 2017,b'AT_USER AT_USER AT_USER save punjab vote AT_USER being indian' 
Kejriwal,Thu Feb 02 18:24:22 +0000 2017,b'rt AT_USER AT_USER URL 
Kejriwal,Thu Feb 02 18:24:05 +0000 2017,b'AT_USER URL 
Amarinder,Thu Feb 02 18:22:17 +0000 2017,b'rt AT_USER patiala rural opens its arms and hearts to AT_USER on poll campaign eve AT_USER AT_USER AT_USER AT_USER 
Amarinder,Thu Feb 02 18:20:58 +0000 2017,b'rt AT_USER AT_USER gets euphoric welcome from crowd in his patiala urban constituency during last leg of campaigning AT_USER 
Badal,Thu Feb 02 18:20:01 +0000 2017,b'faridkot court issues notice to sukhbir badal in 2006 attempt-to-murder case || AT_USER | AT_USER URL 
